时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-06-01 00:00:00,国控,北京,,126,轻度污染,三级,63,56,143,105,0.833,0.86,34,42,139,242,187,218,16,15,0
2015-06-01 00:00:00,国控,北京,万寿西宫,103,轻度污染,,72,55,156,107,0.9,0.992,34,46,146,236,179,209,18,18,0
2015-06-01 00:00:00,国控,北京,定陵,76,良,,46,47,102,94,0.5,0.712,19,22,127,231,176,210,27,14,0
2015-06-01 00:00:00,国控,北京,东四,99,良,,74,57,133,89,0.8,0.846,30,45,147,234,187,210,21,20,0
2015-06-01 00:00:00,国控,北京,天坛,99,良,,69,55,147,100,1.0,0.917,38,48,162,265,204,236,19,17,0
2015-06-01 00:00:00,国控,北京,农展馆,104,轻度污染,,69,58,158,106,0.9,0.904,34,52,158,241,194,221,18,16,0
2015-06-01 00:00:00,国控,北京,官园,112,轻度污染,,65,56,174,119,0.9,0.933,32,44,154,256,206,231,14,16,0
2015-06-01 00:00:00,国控,北京,海淀区万柳,114,轻度污染,,60,55,178,100,0.9,0.908,49,50,131,267,204,242,18,18,0
2015-06-01 00:00:00,国控,北京,顺义新城,80,良,,59,58,104,90,0.9,0.826,52,39,96,220,167,195,14,16,0
2015-06-01 00:00:00,国控,北京,怀柔镇,79,良,,58,57,0,97,0.8,0.817,18,30,155,233,182,214,13,15,0
2015-06-01 00:00:00,国控,北京,昌平镇,70,良,,48,56,89,101,0.6,0.746,24,33,125,210,159,190,6,8,0
2015-06-01 00:00:00,国控,北京,奥体中心,107,轻度污染,,63,58,163,119,0.9,0.862,42,53,147,256,208,237,9,14,0
2015-06-01 00:00:00,国控,北京,古城,114,轻度污染,,74,62,178,138,0.9,0.862,46,46,130,256,189,229,15,13,0
2015-06-01 01:00:00,国控,北京,,113,轻度污染,三级,68,56,134,106,0.842,0.851,39,41,119,242,173,218,15,15,0
2015-06-01 01:00:00,国控,北京,万寿西宫,104,轻度污染,,78,56,147,109,0.9,0.967,31,44,134,236,168,209,15,18,0
2015-06-01 01:00:00,国控,北京,定陵,64,良,,46,47,74,93,0.5,0.696,22,22,110,231,161,210,26,15,0
2015-06-01 01:00:00,国控,北京,东四,105,轻度污染,,79,58,126,91,0.9,0.833,26,43,143,234,177,210,21,21,0
2015-06-01 01:00:00,国控,北京,天坛,99,良,,74,56,143,102,0.9,0.9,33,47,152,265,192,236,16,17,0
2015-06-01 01:00:00,国控,北京,农展馆,102,轻度污染,,76,59,153,109,0.9,0.896,35,50,145,241,183,221,18,17,0
2015-06-01 01:00:00,国控,北京,官园,115,轻度污染,,69,56,179,121,1.0,0.917,42,44,118,256,189,231,14,16,0
2015-06-01 01:00:00,国控,北京,海淀区万柳,99,良,,74,55,0,99,0.9,0.892,45,49,124,267,187,242,19,18,0
2015-06-01 01:00:00,国控,北京,顺义新城,93,良,,66,60,136,94,1.0,0.848,68,40,58,220,148,195,11,16,0
2015-06-01 01:00:00,国控,北京,怀柔镇,78,良,,57,58,93,99,0.8,0.829,13,29,150,233,171,214,10,14,0
2015-06-01 01:00:00,国控,北京,昌平镇,69,良,,48,56,87,102,0.5,0.737,34,32,109,210,147,190,5,8,0
2015-06-01 01:00:00,国控,北京,奥体中心,106,轻度污染,,71,59,162,122,0.9,0.85,62,52,115,256,190,237,12,14,0
2015-06-01 01:00:00,国控,北京,古城,112,轻度污染,,82,62,174,138,0.9,0.846,58,45,77,256,167,229,14,14,0
2015-06-01 02:00:00,国控,北京,,100,良,二级,72,57,138,109,0.808,0.84,34,40,118,242,158,218,14,15,0
2015-06-01 02:00:00,国控,北京,万寿西宫,100,良,,75,56,147,111,1.0,0.946,34,43,125,236,154,209,15,18,0
2015-06-01 02:00:00,国控,北京,定陵,67,良,,48,47,80,94,0.4,0.675,16,22,112,231,146,210,26,16,0
2015-06-01 02:00:00,国控,北京,东四,113,轻度污染,,85,59,131,94,0.9,0.821,29,41,132,234,164,210,20,21,0
2015-06-01 02:00:00,国控,北京,天坛,100,良,,75,57,144,104,0.9,0.887,34,44,147,265,178,236,17,17,0
2015-06-01 02:00:00,国控,北京,农展馆,110,轻度污染,,83,60,154,112,0.9,0.883,30,48,142,241,171,221,18,17,0
2015-06-01 02:00:00,国控,北京,官园,118,轻度污染,,80,57,185,125,0.8,0.887,31,42,119,256,172,231,15,16,0
2015-06-01 02:00:00,国控,北京,海淀区万柳,98,良,,73,55,137,102,0.9,0.875,48,49,106,267,167,242,14,18,0
2015-06-01 02:00:00,国控,北京,顺义新城,104,轻度污染,,78,62,117,97,0.9,0.87,51,41,90,220,132,195,13,16,0
2015-06-01 02:00:00,国控,北京,怀柔镇,80,良,,59,60,80,100,0.6,0.829,11,29,142,233,160,214,8,14,0
2015-06-01 02:00:00,国控,北京,昌平镇,73,良,,53,57,89,102,0.6,0.737,19,32,123,210,136,190,5,8,0
2015-06-01 02:00:00,国控,北京,奥体中心,114,轻度污染,,86,60,175,125,0.9,0.842,39,50,135,256,175,237,11,14,0
2015-06-01 02:00:00,国控,北京,古城,137,轻度污染,,74,62,223,142,0.9,0.833,66,45,45,256,141,229,14,14,0
2015-06-01 03:00:00,国控,北京,,105,轻度污染,三级,78,59,142,111,0.825,0.833,37,39,105,242,142,218,13,16,0
2015-06-01 03:00:00,国控,北京,万寿西宫,118,轻度污染,,89,57,146,113,1.0,0.929,35,42,119,236,142,209,14,18,0
2015-06-01 03:00:00,国控,北京,定陵,78,良,,46,48,105,95,0.4,0.662,19,21,104,231,134,210,25,17,0
2015-06-01 03:00:00,国控,北京,东四,124,轻度污染,,94,61,135,96,0.9,0.821,28,39,128,234,152,210,21,21,0
2015-06-01 03:00:00,国控,北京,天坛,119,轻度污染,,90,59,150,107,0.9,0.875,40,42,129,265,163,236,15,18,0
2015-06-01 03:00:00,国控,北京,农展馆,117,轻度污染,,88,62,159,116,0.9,0.871,29,46,141,241,159,221,18,17,0
2015-06-01 03:00:00,国控,北京,官园,118,轻度污染,,86,58,186,128,0.9,0.867,31,40,116,256,156,231,14,16,0
2015-06-01 03:00:00,国控,北京,海淀区万柳,108,轻度污染,,81,57,145,104,1.0,0.867,76,48,59,267,142,242,10,18,0
2015-06-01 03:00:00,国控,北京,顺义新城,107,轻度污染,,80,63,137,100,0.9,0.871,50,42,81,220,117,195,12,17,0
2015-06-01 03:00:00,国控,北京,怀柔镇,79,良,,58,61,103,103,0.8,0.838,16,28,112,233,148,214,7,14,0
2015-06-01 03:00:00,国控,北京,昌平镇,75,良,,55,58,87,103,0.5,0.733,18,31,114,210,128,190,4,8,0
2015-06-01 03:00:00,国控,北京,奥体中心,117,轻度污染,,88,62,167,130,0.9,0.842,37,48,129,256,159,237,9,14,0
2015-06-01 03:00:00,国控,北京,古城,119,轻度污染,,88,63,187,143,0.8,0.817,75,45,35,256,114,229,11,14,0
2015-06-01 04:00:00,国控,北京,,104,轻度污染,三级,77,60,128,113,0.858,0.83,44,38,92,239,129,218,12,16,0
