时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-04-01 00:00:00,国控,上海,,105,轻度污染,三级,78,69,92,95,1.226,0.997,101,58,28,183,92,152,15,16,0
2015-04-01 00:00:00,国控,上海,普陀,85,良,,63,61,0,86,0.74,0.718,67,45,40,151,82,124,13,14,0
2015-04-01 00:00:00,国控,上海,十五厂,119,轻度污染,,90,72,109,106,1.242,0.958,124,66,32,167,95,149,13,15,0
2015-04-01 00:00:00,国控,上海,虹口,94,良,,70,64,0,81,1.157,0.996,127,70,17,183,80,145,17,17,0
2015-04-01 00:00:00,国控,上海,徐汇上师大,107,轻度污染,,80,67,92,90,0.978,0.821,122,68,16,183,83,154,22,21,0
2015-04-01 00:00:00,国控,上海,杨浦四漂,105,轻度污染,,79,76,90,110,1.826,1.188,118,79,20,178,73,146,14,14,0
2015-04-01 00:00:00,国控,上海,青浦淀山湖,107,轻度污染,,80,73,82,89,0.719,0.626,58,53,53,137,92,114,12,16,0
2015-04-01 00:00:00,国控,上海,静安监测站,99,良,,74,70,0,97,2.626,2.348,103,59,38,189,110,164,10,9,0
2015-04-01 00:00:00,国控,上海,浦东川沙,102,轻度污染,,76,73,0,93,1.062,0.696,77,39,14,212,87,172,13,14,0
2015-04-01 00:00:00,国控,上海,浦东新区监测站,95,良,,71,74,73,100,0.69,0.62,98,52,34,199,110,167,20,18,0
2015-04-01 00:00:00,国控,上海,浦东张江,128,轻度污染,,97,67,106,102,1.217,1.003,124,54,16,232,109,186,23,23,0
2015-04-01 01:00:00,国控,上海,,100,良,二级,75,71,83,95,1.191,1.02,95,61,22,183,74,152,15,16,0
2015-04-01 01:00:00,国控,上海,普陀,80,良,,59,61,0,88,0.929,0.735,88,47,23,151,69,124,14,14,0
2015-04-01 01:00:00,国控,上海,十五厂,112,轻度污染,,84,74,0,106,0.972,0.98,88,69,49,167,82,149,14,14,0
2015-04-01 01:00:00,国控,上海,虹口,83,良,,61,65,69,80,1.412,1.024,132,74,5,183,64,145,16,17,0
2015-04-01 01:00:00,国控,上海,徐汇上师大,105,轻度污染,,79,68,0,92,0.983,0.841,110,71,20,183,63,154,20,21,0
2015-04-01 01:00:00,国控,上海,杨浦四漂,123,轻度污染,,93,78,106,110,1.469,1.217,122,82,10,178,54,146,13,14,0
2015-04-01 01:00:00,国控,上海,青浦淀山湖,105,轻度污染,,79,74,80,88,0.719,0.64,43,53,38,137,80,114,12,16,0
2015-04-01 01:00:00,国控,上海,静安监测站,99,良,,74,72,0,97,2.62,2.381,107,62,20,189,91,164,11,10,0
2015-04-01 01:00:00,国控,上海,浦东川沙,105,轻度污染,,79,75,0,93,0.876,0.715,75,41,2,212,64,172,15,14,0
2015-04-01 01:00:00,国控,上海,浦东新区监测站,97,良,,72,76,81,98,0.734,0.639,91,54,30,199,89,167,19,18,0
2015-04-01 01:00:00,国控,上海,浦东张江,94,良,,70,68,81,100,1.191,1.026,95,57,28,232,84,186,22,23,0
2015-04-01 02:00:00,国控,上海,,104,轻度污染,三级,77,72,86,95,1.306,1.044,101,63,13,183,56,152,15,16,0
2015-04-01 02:00:00,国控,上海,普陀,83,良,,61,62,64,89,1.345,0.772,101,50,10,151,54,124,12,14,0
2015-04-01 02:00:00,国控,上海,十五厂,104,轻度污染,,78,75,0,106,1.278,0.986,98,72,35,167,66,149,13,14,0
2015-04-01 02:00:00,国控,上海,虹口,94,良,,70,66,0,80,1.735,1.069,124,77,5,183,47,145,16,17,0
2015-04-01 02:00:00,国控,上海,徐汇上师大,108,轻度污染,,81,70,82,94,1.075,0.862,115,74,11,183,43,154,18,21,0
2015-04-01 02:00:00,国控,上海,杨浦四漂,120,轻度污染,,91,80,102,110,1.416,1.243,113,85,9,178,37,146,12,15,0
2015-04-01 02:00:00,国控,上海,青浦淀山湖,105,轻度污染,,79,75,83,90,0.565,0.647,69,54,19,137,69,114,12,16,0
2015-04-01 02:00:00,国控,上海,静安监测站,109,轻度污染,,82,73,0,97,2.92,2.424,110,65,18,189,73,164,8,10,0
2015-04-01 02:00:00,国控,上海,浦东川沙,108,轻度污染,,81,76,0,93,0.658,0.725,70,43,1,212,44,172,22,15,0
2015-04-01 02:00:00,国控,上海,浦东新区监测站,103,轻度污染,,77,77,89,98,0.884,0.663,106,58,11,199,67,167,15,19,0
2015-04-01 02:00:00,国控,上海,浦东张江,98,良,,73,70,99,100,1.182,1.048,106,61,12,232,62,186,22,24,0
2015-04-01 03:00:00,国控,上海,,106,轻度污染,三级,79,73,92,96,1.204,1.065,91,66,18,183,43,152,15,16,0
2015-04-01 03:00:00,国控,上海,普陀,88,良,,65,62,0,91,0.788,0.783,65,52,29,151,46,124,14,14,0
2015-04-01 03:00:00,国控,上海,十五厂,108,轻度污染,,81,77,86,108,1.241,1.014,108,76,28,167,53,149,13,14,0
2015-04-01 03:00:00,国控,上海,虹口,99,良,,74,67,0,82,1.772,1.11,110,80,5,183,33,145,14,17,0
2015-04-01 03:00:00,国控,上海,徐汇上师大,103,轻度污染,,77,71,0,94,0.945,0.877,103,76,13,183,32,154,19,21,0
2015-04-01 03:00:00,国控,上海,杨浦四漂,113,轻度污染,,85,82,88,108,1.268,1.263,112,89,8,178,24,146,13,15,0
2015-04-01 03:00:00,国控,上海,青浦淀山湖,113,轻度污染,,85,76,93,90,0.724,0.659,66,54,21,137,59,114,11,16,0
2015-04-01 03:00:00,国控,上海,静安监测站,100,良,,75,74,0,97,2.69,2.458,86,68,41,189,62,164,9,10,0
2015-04-01 03:00:00,国控,上海,浦东川沙,110,轻度污染,,83,77,0,93,0.645,0.735,71,46,0,212,29,172,21,16,0
2015-04-01 03:00:00,国控,上海,浦东新区监测站,105,轻度污染,,79,78,90,97,0.776,0.681,96,61,14,199,53,167,14,19,0
