时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-06-01 00:00:00,国控,天津,,108,轻度污染,三级,80,65,114,118,1.786,1.535,21,27,94,179,130,167,10,21,0
2015-06-01 00:00:00,国控,天津,市监测中心,109,轻度污染,,82,63,110,113,1.19,1.46,19,19,104,212,151,198,4,13,0
2015-06-01 00:00:00,国控,天津,南京路,124,轻度污染,,94,80,131,120,2.062,2.25,29,30,35,163,75,144,6,23,0
2015-06-01 00:00:00,国控,天津,北辰科技园区,93,良,,69,63,102,111,0.888,0.855,10,18,134,223,163,204,10,22,0
2015-06-01 00:00:00,国控,天津,天山路,127,轻度污染,,96,77,104,112,1.702,1.295,19,28,155,256,216,249,14,32,0
2015-06-01 00:00:00,国控,天津,永明路,105,轻度污染,,79,72,80,132,2.035,1.814,18,25,141,228,200,223,36,31,0
2015-06-01 00:00:00,国控,天津,团泊洼,139,轻度污染,,106,90,119,166,5.319,2.041,27,29,112,177,151,173,23,30,0
2015-06-01 00:00:00,国控,天津,南口路,110,轻度污染,,83,45,152,101,1.043,1.147,13,12,113,192,141,173,5,5,0
2015-06-01 00:00:00,国控,天津,勤俭路,80,良,,45,39,109,109,1.618,1.668,26,42,34,122,56,104,5,28,0
2015-06-01 00:00:00,国控,天津,大直沽八号路,105,轻度污染,,79,62,128,115,1.937,2.044,27,33,92,176,130,166,6,16,0
2015-06-01 00:00:00,国控,天津,前进路,109,轻度污染,,82,65,130,112,1.704,2.101,18,21,67,138,91,125,3,13,0
2015-06-01 00:00:00,国控,天津,跃进路,89,良,,66,50,103,124,2.091,1.617,18,27,70,151,102,138,7,22,0
2015-06-01 00:00:00,国控,天津,第四大街,110,轻度污染,,83,79,88,108,1.168,1.092,26,36,46,97,66,87,6,19,0
2015-06-01 00:00:00,国控,天津,航天路,108,轻度污染,,81,64,132,118,1.146,1.062,27,37,99,197,126,191,5,21,0
2015-06-01 00:00:00,国控,天津,汉北路,109,轻度污染,,82,69,116,113,1.107,1.049,22,34,118,179,155,173,20,27,0
2015-06-01 01:00:00,国控,天津,,108,轻度污染,三级,80,67,102,119,1.748,1.559,20,27,90,179,121,167,11,20,0
2015-06-01 01:00:00,国控,天津,市监测中心,107,轻度污染,,80,65,94,114,1.162,1.436,16,19,112,212,140,198,5,12,0
2015-06-01 01:00:00,国控,天津,南京路,128,轻度污染,,97,82,113,121,2.022,2.226,23,30,45,163,64,144,8,22,0
