时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-09-01 01:00:00,国控,北京,,100,良,二级,75,63,58,79,1.358,0.998,48,30,32,160,80,137,2,2,102
2014-09-01 01:00:00,国控,北京,万寿西宫,124,轻度污染,,94,78,0,108,1.6,1.143,65,36,11,173,71,141,2,2,124
2014-09-01 01:00:00,国控,北京,定陵,58,良,,41,29,0,44,1.0,0.736,11,10,70,153,117,143,2,2,58
2014-09-01 01:00:00,国控,北京,东四,132,轻度污染,,100,84,0,99,1.8,1.213,63,37,27,146,74,131,3,3,132
2014-09-01 01:00:00,国控,北京,天坛,113,轻度污染,,85,80,0,99,1.7,1.126,63,37,9,162,59,133,2,2,113
2014-09-01 01:00:00,国控,北京,农展馆,94,良,,70,72,0,80,1.5,1.187,71,35,10,159,72,139,2,3,94
2014-09-01 01:00:00,国控,北京,官园,129,轻度污染,,98,74,0,84,1.6,1.117,62,40,20,162,70,138,2,2,129
2014-09-01 01:00:00,国控,北京,海淀区万柳,99,良,,74,62,0,95,0.9,0.774,68,41,4,149,64,127,5,6,99
2014-09-01 01:00:00,国控,北京,顺义新城,105,轻度污染,,79,65,0,69,1.3,1.083,25,19,26,152,71,134,0,2,105
2014-09-01 01:00:00,国控,北京,怀柔镇,70,良,,51,45,58,51,1.1,0.95,14,11,62,149,97,133,2,2,70
2014-09-01 01:00:00,国控,北京,昌平镇,72,良,,52,38,0,50,1.0,0.83,19,23,84,180,119,154,2,3,72
2014-09-01 01:00:00,国控,北京,奥体中心,100,良,,75,69,0,83,1.5,0.874,74,41,19,149,67,125,2,2,100
2014-09-01 01:00:00,国控,北京,古城,113,轻度污染,,85,63,0,88,1.3,0.948,46,35,47,187,89,155,2,2,113
2014-09-01 01:00:00,非国控,北京,美国大使馆,126,,,96,96,,,,,,,,,,,,,126
2014-09-01 02:00:00,国控,北京,,98,良,二级,73,63,72,79,1.409,1.019,46,31,30,160,67,137,2,2,100
2014-09-01 02:00:00,国控,北京,万寿西宫,113,轻度污染,,85,78,0,108,1.8,1.17,65,38,2,173,53,141,2,2,113
2014-09-01 02:00:00,国控,北京,定陵,59,良,,42,31,54,45,1.0,0.759,11,10,65,153,106,143,2,2,59
2014-09-01 02:00:00,国控,北京,东四,128,轻度污染,,97,84,0,99,1.6,1.226,59,38,21,146,60,131,4,3,128
2014-09-01 02:00:00,国控,北京,天坛,110,轻度污染,,83,80,0,99,1.8,1.152,56,38,7,162,42,133,2,2,110
2014-09-01 02:00:00,国控,北京,农展馆,93,良,,69,71,0,80,1.4,1.196,81,36,4,159,54,139,2,3,93
2014-09-01 02:00:00,国控,北京,官园,132,轻度污染,,100,75,0,84,1.7,1.143,70,42,13,162,53,138,2,2,132
2014-09-01 02:00:00,国控,北京,海淀区万柳,97,良,,72,63,80,93,1.0,0.787,64,43,4,149,49,127,0,6,97
2014-09-01 02:00:00,国控,北京,顺义新城,98,良,,73,64,83,73,0.0,1.086,19,19,19,152,58,134,0,2,98
2014-09-01 02:00:00,国控,北京,怀柔镇,89,良,,66,46,0,51,1.3,0.986,21,12,60,149,88,133,2,2,89
2014-09-01 02:00:00,国控,北京,昌平镇,55,良,,39,39,0,50,1.0,0.848,17,23,79,180,110,154,2,3,55
2014-09-01 02:00:00,国控,北京,奥体中心,97,良,,72,69,0,83,1.6,0.909,50,42,48,149,58,125,2,2,97
2014-09-01 02:00:00,国控,北京,古城,112,轻度污染,,84,65,0,88,1.3,0.965,47,36,44,187,77,155,2,2,112
2014-09-01 02:00:00,非国控,北京,美国大使馆,125,,,95,95,,,,,,,,,,,,,125
2014-09-01 03:00:00,国控,北京,,98,良,二级,73,64,57,79,1.38,1.038,42,31,30,160,56,137,2,2,100
2014-09-01 03:00:00,国控,北京,万寿西宫,110,轻度污染,,83,79,0,108,1.9,1.209,64,39,2,173,39,141,2,2,110
2014-09-01 03:00:00,国控,北京,定陵,64,良,,46,32,57,47,0.0,0.771,13,10,53,153,93,143,2,2,64
2014-09-01 03:00:00,国控,北京,东四,127,轻度污染,,96,83,0,99,1.3,1.23,58,39,18,146,46,131,4,3,127
2014-09-01 03:00:00,国控,北京,天坛,104,轻度污染,,78,80,0,99,1.9,1.187,53,39,8,162,30,133,2,2,104
2014-09-01 03:00:00,国控,北京,农展馆,90,良,,67,70,0,80,1.5,1.209,81,37,2,159,39,139,2,3,90
2014-09-01 03:00:00,国控,北京,官园,132,轻度污染,,100,76,0,84,1.7,1.174,53,43,23,162,42,138,3,2,132
