时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-08-01 00:00:00,非国控,上海,,22,,,10,10,,,,,,,,,,,,,22
2014-08-01 00:00:00,非国控,上海,浦东张江,18,,,1,1,18,,0.364,0.364,7,7,36,36,,,5,5,18
2014-08-01 00:00:00,非国控,上海,浦东新区监测站,48,,,33,33,—,,0.317,0.317,9,9,27,27,,,11,11,48
2014-08-01 00:00:00,非国控,上海,浦东川沙,10,,,7,7,7,,0.361,0.361,6,6,29,29,,,7,7,10
2014-08-01 00:00:00,非国控,上海,静安监测站,15,,,10,10,—,,0.504,0.504,9,9,37,37,,,6,6,15
2014-08-01 00:00:00,非国控,上海,青浦淀山湖,37,,,13,13,37,,0.741,0.741,11,11,23,23,,,8,8,37
2014-08-01 00:00:00,非国控,上海,杨浦四漂,37,,,15,15,37,,0.403,0.403,7,7,48,48,,,—,—,37
2014-08-01 00:00:00,非国控,上海,徐汇上师大,20,,,11,11,20,,0.253,0.253,14,14,36,36,,,5,5,20
2014-08-01 00:00:00,非国控,上海,虹口,18,,,12,12,14,,0.391,0.391,16,16,24,24,,,14,14,18
2014-08-01 00:00:00,非国控,上海,十五厂,10,,,7,7,9,,—,—,—,—,—,—,,,—,—,10
2014-08-01 00:00:00,非国控,上海,普陀,27,,,2,2,27,,—,—,—,—,—,—,,,—,—,27
2014-08-01 00:00:00,非国控,上海,美国领事馆,9,,,6,6,,,,,,,,,,,,,9
2014-08-01 01:00:00,国控,上海,,20,优,一级,8,13,19,31,0.428,0.454,10,12,33,59,35,51,11,9,17
2014-08-01 01:00:00,国控,上海,普陀,8,优,,5,12,0,38,0.0,0.0,0,0,0,0,0,0,0,0,8
2014-08-01 01:00:00,国控,上海,十五厂,13,优,,9,13,0,22,0.0,0.0,0,0,0,0,0,0,0,0,13
2014-08-01 01:00:00,国控,上海,虹口,15,优,,6,15,15,37,0.369,0.416,17,16,22,52,27,44,12,12,15
2014-08-01 01:00:00,国控,上海,徐汇上师大,18,优,,12,14,0,23,0.0,0.274,15,17,0,64,38,55,5,12,18
2014-08-01 01:00:00,国控,上海,杨浦四漂,31,优,,9,17,31,42,0.398,0.527,12,10,61,72,53,62,38,12,31
2014-08-01 01:00:00,国控,上海,青浦淀山湖,21,优,,13,15,21,30,0.718,0.689,9,9,23,70,26,56,6,6,21
2014-08-01 01:00:00,国控,上海,静安监测站,12,优,,6,12,0,28,0.497,0.567,8,14,36,59,38,52,6,7,12
2014-08-01 01:00:00,国控,上海,浦东川沙,16,优,,6,8,16,25,0.341,0.391,4,10,30,54,35,47,6,9,16
2014-08-01 01:00:00,国控,上海,浦东新区监测站,25,优,,17,20,0,37,0.318,0.361,9,14,24,46,28,40,11,12,25
2014-08-01 01:00:00,国控,上海,浦东张江,14,优,,2,13,14,34,0.357,0.405,7,11,35,57,40,52,5,6,14
2014-08-01 02:00:00,国控,上海,,22,优,一级,5,13,21,31,0.51,0.456,9,12,48,70,36,51,8,9,21
2014-08-01 02:00:00,国控,上海,普陀,22,优,,1,12,22,40,0.0,0.0,0,0,0,0,0,0,0,0,22
2014-08-01 02:00:00,国控,上海,十五厂,5,优,,3,12,0,21,0.0,0.0,0,0,0,0,0,0,0,0,5
2014-08-01 02:00:00,国控,上海,虹口,30,优,,9,15,30,36,0.378,0.415,17,16,22,52,26,44,19,13,30
2014-08-01 02:00:00,国控,上海,徐汇上师大,43,优,,7,13,0,22,0.228,0.275,12,17,137,137,52,55,5,12,43
2014-08-01 02:00:00,国控,上海,杨浦四漂,34,优,,12,17,34,42,1.31,0.557,11,10,87,87,57,62,8,12,34
2014-08-01 02:00:00,国控,上海,青浦淀山湖,15,优,,10,15,0,28,0.684,0.689,7,9,24,70,25,56,6,6,15
2014-08-01 02:00:00,国控,上海,静安监测站,11,优,,4,11,6,28,0.498,0.564,9,14,35,59,37,52,6,7,11
2014-08-01 02:00:00,国控,上海,浦东川沙,14,优,,3,8,14,25,0.326,0.389,4,9,29,54,33,47,6,9,14
2014-08-01 02:00:00,国控,上海,浦东新区监测站,23,优,,6,19,23,38,0.306,0.358,7,13,26,46,27,40,11,12,23
2014-08-01 02:00:00,国控,上海,浦东张江,21,优,,1,12,21,33,0.35,0.403,11,11,30,57,38,52,10,6,21
2014-08-01 03:00:00,国控,上海,,18,优,一级,7,13,15,30,0.396,0.454,8,12,30,70,35,51,8,9,15
2014-08-01 03:00:00,国控,上海,普陀,16,优,,4,12,16,39,0.0,0.0,0,0,0,0,0,0,0,0,16
2014-08-01 03:00:00,国控,上海,十五厂,9,优,,6,12,8,22,0.0,0.0,0,0,0,0,0,0,0,0,9
2014-08-01 03:00:00,国控,上海,虹口,20,优,,14,15,17,35,0.366,0.414,15,16,22,52,25,44,19,13,20
2014-08-01 03:00:00,国控,上海,徐汇上师大,11,优,,6,12,9,22,0.226,0.276,12,17,34,137,51,55,5,12,11
2014-08-01 03:00:00,国控,上海,杨浦四漂,23,优,,9,17,23,42,0.407,0.547,10,10,44,87,56,62,8,12,23
2014-08-01 03:00:00,国控,上海,青浦淀山湖,9,优,,6,14,0,28,0.687,0.69,4,9,26,70,25,56,5,6,9
