0,0,71.5124,197,212,213
0,137,63.9851,191,209,211
0,361,59.2101,201,215,213
159,0,48.466,193,209,204
0,251,43.8037,184,203,203
54,442,38.3615,214,224,224
83,69,36.2688,186,204,205
371,0,34.2887,198,213,213
0,475,25.7287,213,220,220
233,0,25.2443,205,218,213
313,0,23.1165,200,213,214
346,511,23.1165,231,225,180
286,153,22.4494,229,222,189
91,12,20.4693,191,208,207
342,258,19.6758,228,214,177
242,511,19.2965,192,166,101
43,296,19.1701,192,209,206
258,275,17.8008,230,217,183
317,417,17.5129,231,217,177
133,504,17.0636,147,121,68
372,449,16.8108,225,219,180
249,138,16.4315,231,219,175
89,511,16.4315,130,118,73
349,347,16.3965,223,208,171
274,0,16.235,204,216,213
313,490,15.6029,228,215,167
299,340,15.5679,223,209,169
39,207,15.4415,179,198,198
283,201,15.28,204,183,140
76,120,15.0622,177,198,200
348,404,14.325,226,213,167
130,386,13.6579,130,118,69
318,283,13.5315,224,208,174
256,214,13.2786,191,165,119
35,511,13.2786,123,114,71
329,198,13.1172,223,212,175
344,475,13.1172,231,225,185
128,52,12.7029,184,201,200
165,157,12.5765,186,156,96
61,324,12.5765,182,198,196
368,368,12.2886,214,200,154
324,389,12.2886,229,216,174
511,488,12.2886,205,217,210
266,486,12.1622,202,176,114
315,310,12.0358,222,195,155
63,392,11.9093,208,220,216
501,455,11.9093,205,216,215
239,235,11.8743,219,199,164
249,166,11.4951,228,212,166
156,307,11.46,157,134,80
316,166,10.9543,225,217,179
216,384,10.9193,173,143,88
469,421,10.7929,173,188,194
437,5,10.6665,189,203,205
244,420,10.6665,176,145,87
37,74,10.505,196,211,214
208,342,10.3786,153,129,79
388,415,10.3786,198,183,138
215,475,10.1258,162,139,84
96,420,9.96431,206,217,212
297,435,9.83789,219,194,149
353,308,9.55002,222,200,161
279,354,9.55002,230,214,174
0,441,9.55002,212,220,222
84,479,9.55002,208,218,210
146,194,9.4236,172,149,93
303,395,9.4236,223,199,154
33,484,9.4236,213,219,218
194,158,9.17076,192,167,116
324,345,9.17076,225,209,174
511,95,9.00931,205,209,172
139,159,9.00931,164,139,83
148,397,8.75647,120,111,67
505,153,8.59502,233,192,72
241,254,8.59502,230,214,180
346,371,8.59502,226,216,175
292,418,8.59502,229,210,172
363,484,8.59502,230,225,187
355,282,8.4686,228,207,166
211,191,8.34218,200,171,120
150,242,8.34218,143,125,77
348,447,8.34218,227,222,183
208,451,8.34218,151,137,90
335,22,8.21576,197,210,209
210,24,8.21576,199,213,205
274,294,8.21576,225,204,165
168,322,8.21576,156,129,78
362,387,8.21576,220,207,162
444,434,8.21576,224,225,215
107,406,7.92789,192,205,194
0,508,7.92789,209,218,213
428,24,7.80147,188,202,189
165,137,7.80147,181,151,94
172,176,7.80147,188,155,92
176,197,7.80147,190,156,97
147,212,7.80147,168,143,86
363,427,7.80147,223,213,169
59,499,7.80147,123,117,74
155,55,7.64001,174,192,188
242,115,7.64001,225,215,174
123,220,7.64001,167,139,86
69,297,7.64001,185,200,195
234,298,7.64001,212,180,131
252,304,7.64001,230,208,164
126,477,7.64001,132,116,69
487,511,7.64001,232,234,221
511,112,7.5136,197,207,184
207,127,7.5136,202,182,142
200,176,7.5136,204,171,115
342,214,7.5136,210,196,154
264,316,7.5136,218,187,145
346,323,7.5136,222,198,163
112,29,7.38718,181,200,200
391,36,7.38718,190,203,191
12,426,7.38718,215,224,224
201,375,7.0993,167,137,81
275,469,7.0993,202,172,116
499,473,7.0993,207,219,212
239,181,6.97289,223,202,153
304,208,6.97289,200,180,139
296,277,6.97289,225,214,185
500,287,6.97289,239,199,84
169,381,6.97289,166,135,61
168,208,6.84647,191,154,93
361,328,6.84647,222,200,161
253,405,6.84647,187,150,86
490,440,6.84647,203,214,212
216,68,6.68501,138,114,53
125,70,6.68501,186,202,197
487,117,6.68501,190,201,183
270,129,6.68501,229,221,185
310,192,6.68501,223,215,182
18,204,6.68501,182,201,204
281,276,6.68501,225,219,190
240,311,6.68501,221,192,147
332,317,6.68501,225,201,164
165,336,6.68501,154,126,74
98,435,6.68501,200,211,203
142,469,6.68501,153,125,67
363,470,6.68501,230,224,189
74,494,6.68501,135,122,74
314,511,6.68501,231,217,166
425,81,6.55859,167,135,53
489,148,6.55859,226,179,55
446,161,6.55859,169,126,46
342,230,6.55859,224,212,179
511,292,6.55859,231,193,81
210,399,6.55859,170,143,88
289,16,6.43217,202,213,211
259,17,6.43217,200,212,200
61,105,6.43217,185,205,211
44,228,6.43217,182,199,195
203,299,6.43217,163,137,90
92,317,6.43217,90,82,58
335,330,6.43217,224,204,166
117,372,6.43217,139,121,72
76,403,6.43217,213,224,217
322,467,6.43217,230,221,181
295,469,6.43217,224,202,152
227,491,6.43217,182,156,95
301,259,6.1443,200,180,141
340,294,6.1443,228,205,167
240,370,6.1443,178,148,98
219,408,6.1443,167,141,85
263,438,6.1443,179,148,101
240,483,6.1443,186,158,92
71,29,6.01788,183,202,201
398,229,6.01788,123,98,43
206,234,6.01788,183,150,97
375,316,6.01788,210,181,124
86,409,6.01788,213,223,217
310,468,6.01788,228,213,168
435,159,5.73001,186,141,45
471,170,5.73001,136,107,46
213,178,5.73001,208,181,127
135,184,5.73001,165,139,83
159,216,5.73001,180,151,93
288,260,5.73001,190,172,130
336,282,5.73001,227,206,168
213,326,5.73001,140,120,79
179,330,5.73001,156,131,80
394,339,5.73001,189,161,105
374,351,5.73001,218,198,153
332,373,5.73001,228,217,173
0,425,5.73001,208,217,218
252,434,5.73001,165,139,90
329,457,5.73001,230,216,175
491,497,5.73001,236,238,224
169,511,5.73001,224,170,59
220,147,5.60359,218,197,151
501,192,5.60359,106,91,44
206,203,5.60359,193,162,109
167,237,5.60359,150,127,74
12,298,5.60359,187,207,206
63,376,5.60359,207,218,215
383,377,5.60359,196,172,126
341,422,5.60359,226,208,160
353,435,5.60359,227,218,180
192,450,5.60359,90,90,64
245,43,5.47717,183,146,53
160,125,5.47717,166,143,89
230,129,5.47717,227,213,170
299,189,5.47717,215,206,174
412,210,5.47717,147,113,46
98,277,5.47717,150,126,72
511,303,5.47717,230,189,75
327,359,5.47717,224,208,167
482,430,5.47717,192,204,204
207,437,5.47717,138,128,90
117,460,5.47717,141,120,67
15,501,5.47717,209,215,208
