时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-04-01 00:00:00,国控,天津,,71,良,二级,51,66,69,78,1.196,0.976,31,24,14,48,19,54,11,9,0
2015-04-01 00:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 00:00:00,国控,天津,机车车辆厂,103,轻度污染,,77,84,0,99,2.198,1.189,77,41,0,87,19,43,14,12,0
2015-04-01 00:00:00,国控,天津,继电器厂,68,良,,42,65,85,102,0.441,0.415,33,23,4,36,14,45,10,9,0
2015-04-01 00:00:00,国控,天津,南京路,74,良,,54,83,62,84,1.075,0.602,25,23,19,52,26,69,17,12,0
2015-04-01 00:00:00,国控,天津,河东站,65,良,,47,60,0,87,0.983,0.799,26,24,12,35,17,44,14,11,0
2015-04-01 00:00:00,国控,天津,河西站,68,良,,49,64,61,94,1.127,0.94,28,29,14,38,17,48,11,8,0
2015-04-01 00:00:00,国控,天津,北辰科技园区,79,良,,58,70,87,68,1.779,1.362,27,19,0,53,16,68,13,12,0
2015-04-01 00:00:00,国控,天津,天山路,78,良,,57,61,65,61,1.149,0.71,40,17,4,69,23,84,14,9,0
2015-04-01 00:00:00,国控,天津,东丽中学,52,良,,34,55,54,77,0.906,0.974,33,27,0,22,6,33,6,6,0
2015-04-01 00:00:00,国控,天津,泰丰工业园,85,良,,63,69,0,63,0.622,0.563,29,19,13,43,23,40,12,9,0
2015-04-01 00:00:00,国控,天津,永明路,57,良,,40,56,0,60,0.722,0.945,19,21,24,37,22,53,10,13,0
2015-04-01 00:00:00,国控,天津,空港物流加工区,57,良,,40,59,0,70,0.894,0.787,18,22,16,36,19,40,10,9,0
2015-04-01 00:00:00,国控,天津,中新生态城,72,良,,52,54,0,63,2.074,1.826,30,25,25,94,35,103,18,12,0
2015-04-01 00:00:00,国控,天津,团泊洼,84,良,,62,81,0,90,1.575,1.576,25,22,11,32,16,40,4,5,0
2015-04-01 01:00:00,国控,天津,,76,良,二级,55,64,76,75,1.307,0.983,36,24,8,45,17,49,12,9,0
2015-04-01 01:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 01:00:00,国控,天津,机车车辆厂,115,轻度污染,,87,83,120,95,2.475,1.258,81,43,0,87,14,42,17,12,0
2015-04-01 01:00:00,国控,天津,继电器厂,74,良,,54,64,89,98,0.565,0.403,35,24,0,33,12,40,11,9,0
2015-04-01 01:00:00,国控,天津,南京路,87,良,,64,81,73,81,0.976,0.606,35,23,5,46,23,62,17,12,0
2015-04-01 01:00:00,国控,天津,河东站,68,良,,49,58,67,82,1.112,0.782,34,24,6,32,16,40,14,11,0
2015-04-01 01:00:00,国控,天津,河西站,64,良,,46,62,73,91,1.378,0.956,36,29,6,32,16,42,12,8,0
2015-04-01 01:00:00,国控,天津,北辰科技园区,85,良,,63,68,77,65,1.687,1.346,27,19,0,53,11,54,15,11,0
2015-04-01 01:00:00,国控,天津,天山路,87,良,,64,61,77,62,1.347,0.747,36,18,3,59,20,80,11,9,0
2015-04-01 01:00:00,国控,天津,东丽中学,51,良,,31,53,52,74,1.177,0.933,33,27,0,22,4,28,6,6,0
2015-04-01 01:00:00,国控,天津,泰丰工业园,82,良,,60,68,0,62,0.586,0.568,33,19,10,43,21,39,13,9,0
2015-04-01 01:00:00,国控,天津,永明路,50,优,,35,55,0,56,0.763,0.936,16,21,26,37,23,47,9,13,0
2015-04-01 01:00:00,国控,天津,空港物流加工区,64,良,,46,58,53,66,1.043,0.803,30,21,5,36,16,36,10,9,0
2015-04-01 01:00:00,国控,天津,中新生态城,73,良,,53,54,82,64,2.351,1.864,46,26,8,81,31,98,17,13,0
2015-04-01 01:00:00,国控,天津,团泊洼,85,良,,63,78,0,84,1.532,1.578,26,22,10,32,16,34,4,5,0
2015-04-01 02:00:00,国控,天津,,81,良,二级,59,63,88,73,1.349,0.991,36,24,5,44,14,45,11,9,0
2015-04-01 02:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 02:00:00,国控,天津,机车车辆厂,120,轻度污染,,91,82,95,92,2.221,1.331,76,44,0,87,12,42,15,12,0
2015-04-01 02:00:00,国控,天津,继电器厂,74,良,,54,62,87,95,0.501,0.369,32,24,0,33,10,35,10,9,0
2015-04-01 02:00:00,国控,天津,南京路,102,轻度污染,,76,80,87,78,0.876,0.575,35,23,3,46,20,57,16,12,0
2015-04-01 02:00:00,国控,天津,河东站,77,良,,56,57,85,80,1.129,0.759,35,24,4,32,14,36,14,11,0
2015-04-01 02:00:00,国控,天津,河西站,74,良,,54,61,88,89,1.276,0.914,42,30,0,32,13,36,13,8,0
2015-04-01 02:00:00,国控,天津,北辰科技园区,83,良,,61,67,61,62,1.524,1.365,26,19,0,53,8,49,10,11,0
2015-04-01 02:00:00,国控,天津,天山路,85,良,,63,61,73,62,1.16,0.774,32,19,3,53,17,76,8,9,0
2015-04-01 02:00:00,国控,天津,东丽中学,67,良,,48,51,80,73,1.424,0.936,34,27,0,22,4,24,12,6,0
2015-04-01 02:00:00,国控,天津,泰丰工业园,97,良,,66,68,143,65,1.134,0.597,32,19,6,43,19,39,13,9,0
2015-04-01 02:00:00,国控,天津,永明路,78,良,,31,53,105,55,0.902,0.931,24,20,17,37,22,44,9,13,0
2015-04-01 02:00:00,国控,天津,空港物流加工区,72,良,,52,57,75,65,1.25,0.833,33,21,2,36,15,32,10,9,0
2015-04-01 02:00:00,国控,天津,中新生态城,83,良,,61,54,91,64,2.378,1.901,48,27,3,68,26,94,15,13,0
2015-04-01 02:00:00,国控,天津,团泊洼,85,良,,63,76,80,80,1.759,1.596,29,22,7,32,14,29,4,5,0
2015-04-01 03:00:00,国控,天津,,83,良,二级,61,62,79,72,1.275,1.006,36,24,4,44,12,42,9,9,0
2015-04-01 03:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 03:00:00,国控,天津,机车车辆厂,109,轻度污染,,82,80,0,91,1.595,1.397,75,46,0,87,9,42,10,12,0
2015-04-01 03:00:00,国控,天津,继电器厂,78,良,,57,61,87,92,0.383,0.355,33,23,0,33,8,34,9,8,0
2015-04-01 03:00:00,国控,天津,南京路,89,良,,66,78,0,77,0.536,0.541,34,23,5,46,18,52,12,12,0
2015-04-01 03:00:00,国控,天津,河东站,69,良,,50,56,0,78,0.818,0.747,31,23,7,32,12,33,13,11,0
2015-04-01 03:00:00,国控,天津,河西站,69,良,,50,59,69,86,0.949,0.877,37,29,4,32,12,33,10,8,0
2015-04-01 03:00:00,国控,天津,北辰科技园区,77,良,,56,65,0,62,1.202,1.381,27,19,0,53,5,49,8,11,0
2015-04-01 03:00:00,国控,天津,天山路,79,良,,58,61,72,62,1.094,0.794,33,19,3,53,12,71,7,9,0
2015-04-01 03:00:00,国控,天津,东丽中学,77,良,,56,50,66,71,1.233,0.95,33,26,0,22,3,21,8,6,0
2015-04-01 03:00:00,国控,天津,泰丰工业园,103,轻度污染,,77,68,90,66,1.136,0.626,29,19,5,43,16,37,11,9,0
2015-04-01 03:00:00,国控,天津,永明路,77,良,,56,53,0,53,2.359,0.993,36,21,0,37,20,40,13,13,0
2015-04-01 03:00:00,国控,天津,空港物流加工区,74,良,,54,56,54,64,0.931,0.85,31,20,4,36,13,29,7,9,0
2015-04-01 03:00:00,国控,天津,中新生态城,92,良,,68,54,100,65,2.303,1.935,46,28,3,68,20,87,12,13,0
2015-04-01 03:00:00,国控,天津,团泊洼,90,良,,67,75,98,80,2.042,1.628,35,23,2,32,12,26,4,5,0
2015-04-01 04:00:00,国控,天津,,86,良,二级,63,62,80,72,1.103,1.023,36,24,5,44,10,39,8,9,0
2015-04-01 04:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 04:00:00,国控,天津,机车车辆厂,109,轻度污染,,82,80,0,89,1.475,1.459,75,48,0,87,6,42,9,12,0
2015-04-01 04:00:00,国控,天津,继电器厂,82,良,,60,60,78,90,0.143,0.348,33,23,2,33,6,33,9,8,0
2015-04-01 04:00:00,国控,天津,南京路,88,良,,65,76,0,75,0.369,0.541,30,23,11,46,16,48,10,12,0
2015-04-01 04:00:00,国控,天津,河东站,64,良,,46,55,0,76,0.631,0.752,27,22,10,32,11,30,11,11,0
2015-04-01 04:00:00,国控,天津,河西站,59,良,,42,58,66,84,0.673,0.865,28,28,13,32,11,29,8,8,0
2015-04-01 04:00:00,国控,天津,北辰科技园区,79,良,,58,64,0,61,1.038,1.392,27,19,0,53,4,48,6,11,0
2015-04-01 04:00:00,国控,天津,天山路,88,良,,65,60,0,62,1.07,0.811,40,20,3,53,8,64,10,9,0
2015-04-01 04:00:00,国控,天津,东丽中学,75,良,,55,49,55,70,0.994,0.964,33,25,0,22,2,18,5,6,0
2015-04-01 04:00:00,国控,天津,泰丰工业园,107,轻度污染,,80,67,90,66,0.904,0.644,30,20,5,43,13,37,10,9,0
2015-04-01 04:00:00,国控,天津,永明路,104,轻度污染,,78,53,109,59,2.072,1.043,35,21,0,37,17,35,10,13,0
2015-04-01 04:00:00,国控,天津,空港物流加工区,74,良,,54,56,63,63,0.82,0.863,33,21,2,36,11,27,7,9,0
2015-04-01 04:00:00,国控,天津,中新生态城,94,良,,70,55,94,66,2.241,1.964,47,29,3,68,16,79,11,13,0
2015-04-01 04:00:00,国控,天津,团泊洼,99,良,,74,74,88,80,1.903,1.652,33,23,2,32,10,24,4,5,0
2015-04-01 05:00:00,国控,天津,,86,良,二级,63,61,88,71,1.114,1.04,36,25,5,44,7,36,9,9,0
2015-04-01 05:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 05:00:00,国控,天津,机车车辆厂,117,轻度污染,,88,79,89,88,1.572,1.524,72,50,0,87,3,42,10,13,0
2015-04-01 05:00:00,国控,天津,继电器厂,69,良,,50,59,81,90,0.07,0.34,29,24,5,33,5,28,9,8,0
2015-04-01 05:00:00,国控,天津,南京路,84,良,,62,75,0,72,0.461,0.55,29,23,12,46,14,43,11,12,0
2015-04-01 05:00:00,国控,天津,河东站,68,良,,49,54,0,72,0.82,0.766,32,23,7,32,10,27,11,11,0
2015-04-01 05:00:00,国控,天津,河西站,65,良,,45,57,79,83,0.865,0.876,31,28,10,32,10,26,8,8,0
2015-04-01 05:00:00,国控,天津,北辰科技园区,74,良,,54,63,0,59,1.019,1.392,26,20,0,53,2,41,6,11,0
2015-04-01 05:00:00,国控,天津,天山路,95,良,,71,60,134,65,1.111,0.834,45,22,3,53,6,59,16,9,0
2015-04-01 05:00:00,国控,天津,东丽中学,74,良,,54,49,66,68,1.009,0.979,34,26,0,22,1,16,8,6,0
2015-04-01 05:00:00,国控,天津,泰丰工业园,110,轻度污染,,83,67,93,66,0.909,0.663,31,20,5,43,9,37,10,10,0
2015-04-01 05:00:00,国控,天津,永明路,98,良,,73,53,97,61,1.928,1.087,34,22,0,37,14,31,11,13,0
2015-04-01 05:00:00,国控,天津,空港物流加工区,79,良,,58,55,0,62,0.747,0.873,31,21,3,36,8,27,7,9,0
2015-04-01 05:00:00,国控,天津,中新生态城,87,良,,64,55,83,67,2.206,1.979,47,30,2,68,13,71,10,13,0
2015-04-01 05:00:00,国控,天津,团泊洼,97,良,,72,73,72,79,1.765,1.66,33,23,2,32,8,22,4,5,0
2015-04-01 06:00:00,国控,天津,,88,良,二级,65,60,87,71,1.196,1.057,38,26,5,44,6,34,11,9,0
2015-04-01 06:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 06:00:00,国控,天津,机车车辆厂,133,轻度污染,,101,80,103,88,2.239,1.618,71,52,0,87,1,42,15,13,0
2015-04-01 06:00:00,国控,天津,继电器厂,78,良,,57,58,103,90,0.158,0.329,35,24,0,33,3,25,9,8,0
2015-04-01 06:00:00,国控,天津,南京路,88,良,,65,74,0,71,0.417,0.551,30,24,13,46,12,36,14,12,0
2015-04-01 06:00:00,国控,天津,河东站,70,良,,51,53,0,69,0.749,0.771,34,24,6,32,8,24,13,11,0
2015-04-01 06:00:00,国控,天津,河西站,72,良,,50,56,93,84,0.794,0.88,39,29,5,32,8,24,9,8,0
2015-04-01 06:00:00,国控,天津,北辰科技园区,73,良,,53,62,76,58,1.102,1.384,26,20,0,53,1,39,11,11,0
2015-04-01 06:00:00,国控,天津,天山路,95,良,,71,60,125,67,1.241,0.862,45,23,3,53,4,54,16,9,0
2015-04-01 06:00:00,国控,天津,东丽中学,75,良,,55,48,81,68,0.94,0.986,34,26,0,22,0,16,6,6,0
2015-04-01 06:00:00,国控,天津,泰丰工业园,119,轻度污染,,90,67,0,65,1.23,0.686,35,21,5,43,8,37,12,10,0
2015-04-01 06:00:00,国控,天津,永明路,94,良,,70,52,0,60,1.619,1.119,35,22,0,37,11,31,10,14,0
2015-04-01 06:00:00,国控,天津,空港物流加工区,72,良,,52,55,58,62,0.778,0.875,33,22,3,36,7,27,9,9,0
2015-04-01 06:00:00,国控,天津,中新生态城,84,良,,62,54,75,67,2.544,2.017,53,31,3,68,9,66,16,13,0
2015-04-01 06:00:00,国控,天津,团泊洼,97,良,,72,71,76,78,1.741,1.668,34,23,2,32,6,22,3,4,0
2015-04-01 07:00:00,国控,天津,,87,良,二级,64,60,96,70,1.264,1.075,40,27,5,44,6,33,14,10,0
2015-04-01 07:00:00,国控,天津,市监测中心,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2015-04-01 07:00:00,国控,天津,机车车辆厂,120,轻度污染,,91,79,121,88,1.917,1.698,76,54,2,87,0,42,16,13,0
2015-04-01 07:00:00,国控,天津,继电器厂,87,良,,62,57,123,90,0.158,0.319,39,25,1,33,2,25,13,9,0
2015-04-01 07:00:00,国控,天津,南京路,80,良,,59,72,0,69,0.322,0.541,29,24,19,46,11,34,16,12,0
2015-04-01 07:00:00,国控,天津,河东站,69,良,,50,52,65,66,0.657,0.769,35,24,7,32,7,24,16,11,0
2015-04-01 07:00:00,国控,天津,河西站,74,良,,46,55,97,83,0.659,0.874,40,30,8,32,8,24,12,8,0
2015-04-01 07:00:00,国控,天津,北辰科技园区,104,轻度污染,,78,62,0,57,1.4,1.379,27,20,0,53,0,39,17,11,0
2015-04-01 07:00:00,国控,天津,天山路,88,良,,65,59,89,67,1.058,0.882,44,25,4,53,3,51,16,10,0
